title,url
Coronavirus disease (COVID-19) - WHO | World Health Organization,https://www.who.int/health-topics/coronavirus
WHO Coronavirus (COVID-19) Dashboard,https://covid19.who.int/
CoWIN,https://www.cowin.gov.in/
MoHFW | Home,https://mohfw.gov.in/
Coronavirus - COVID-19 pandemic - the United Nations,https://www.un.org/en/coronavirus
"#IndiaFightsCorona COVID-19 in India, Vaccination ... - MyGov",https://mygov.in/covid-19/
COVID-19 - Wikipedia,https://en.wikipedia.org/wiki/COVID-19
How to Protect Yourself & Others | CDC,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html
Emergency Use Authorization | FDA - US Food and Drug ...,https://www.fda.gov/emergency-preparedness-and-response/mcm-legal-regulatory-and-policy-framework/emergency-use-authorization
